keyword,diagnosis,advice
blood thinner,Medication,Prevents clots watch for bruising
warfarin,Medication,Requires regular blood tests watch Vitamin K
digoxin,Medication,Strengthens heartbeat watch for nausea
amiodarone,Rhythm Med,Controls AFib watch for thyroid issues
clopidogrel,Antiplatelet,Keeps stents open do not miss dose
nitro,Emergency Med,Keep fresh replace every 6 months
aorta,Main Artery,Tearing pain in back needs ER (Dissection)
atrium,Upper Chamber,Fluttering usually starts here (AFib)
ventricle,Lower Chamber,Pumping chamber weakness is Heart Failure
veins,Return Flow,Swollen neck veins mean fluid overload
artery,Supply Flow,Hardened arteries raise BP
capillaries,Tiny Vessels,Cold fingers mean poor tiny vessel flow
ecg,Heart Test,Checks rhythm and electrical signals
echo,Heart Test,Ultrasound checks valve and pump function
holter,Monitor,24h monitor catches hidden arrhythmias
stress test,Exertion Check,Checks heart under load treadmill
troponin,Blood Test,High levels confirm heart attack
ck-mb,Blood Test,Enzyme released during heart damage
bnp,Blood Test,High levels confirm Heart Failure
lipid,Cholesterol Test,Checks LDL HDL and Triglycerides
crp,Inflammation Test,High CRP indicates vessel inflammation
angiogram,Xray Test,Dye test finds blocked arteries
mri,Imaging,Detailed heart muscle picture
ct scan,Imaging,Checks calcium score in arteries
ablation,Procedure,Burns bad electrical pathways cures AFib
defibrillator,Implant,Shocks heart if it stops (ICD)
transplant,Surgery,Last resort for severe failure
rehab,Recovery,Supervised exercise after attack is vital
insurance,Coverage,Check if policy covers cardiac rehab
ambulance,Emergency,Faster than driving gets care started immediately
cpr,Life Support,Push hard and fast in center of chest
aed,Defibrillator,Follow voice prompts saves lives
pulse,Vital Sign,Normal is 60-100 check at wrist
bp monitor,Home Device,Check BP morning and night log it.
